Price,Taxes,Outbound1AirportDeparture,Outbound1AirportArrival,Outbound1TimeDeparture,Outbound1TimeArrival,Outbound1FlightNumber,Outbound2AirportDeparture,Outbound2AirportArrival,Outbound2TimeDeparture,Outbound2TimeArrival,Outbound2FlightNumber,Inbound1AirportDeparture,Inbound1AirportArrival,Inbound1TimeDeparture,Inbound1TimeArrival,Inbound1FlightNumber,Inbound2AirportDeparture,Inbound2AirportArrival,Inbound2TimeDeparture,Inbound2TimeArrival,Inbound2FlightNumber
1573.52,430.52,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
1644.52,430.52,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
1644.52,430.52,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
1715.52,430.52,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
4344.34,812.34,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
4379.34,812.34,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
4415.34,812.34,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
4450.34,812.34,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
7149.16,1194.16,JFK,MAD,2024/08/25 19:30,2024/08/26 08:45,UX3392,MAD,AUH,2024/08/26 14:00,2024/08/26 23:40,UX2703,AUH,MAD,2024/08/30 07:30,2024/08/30 12:30,UX2702,MAD,JFK,2024/08/31 10:45,2024/08/31 13:30,UX3391
